systematic_id ; common_name ; description
YER087C-B ; SBH1 ; Beta subunit of Sec61p ER translocation complex (Sec61p-Sss1p-Sbh1p)
YER087W ; AIM10 ; Protein with similarity to tRNA synthetases
YER088C ; DOT6 ; Protein involved in rRNA and ribosome biogenesis
YER089C ; PTC2 ; Type 2C protein phosphatase (PP2C)
YER090W ; TRP2 ; Anthranilate synthase
YER091C ; MET6 ; Cobalamin-independent methionine synthase
YER092W ; IES5 ; Non-essential INO80 chromatin remodeling complex subunit
YER093C ; TSC11 ; Subunit of TORC2 (Tor2p-Lst8p-Avo1-Avo2-Tsc11p-Bit61p)
YER094C ; PUP3 ; Beta 3 subunit of the 20S proteasome
YER095W ; RAD51 ; Strand exchange protein
YER096W ; SHC1 ; Sporulation-specific activator of Chs3p (chitin synthase III)
YER098W ; UBP9 ; Ubiquitin-specific protease that cleaves ubiquitin-protein fusions
YER099C ; PRS2 ; 5-phospho-ribosyl-1(alpha)-pyrophosphate synthetase
YER100W ; UBC6 ; Ubiquitin-conjugating enzyme involved in ERAD
YER101C ; AST2 ; Lipid raft associated protein
YER102W ; RPS8B ; Protein component of the small (40S) ribosomal subunit
YER103W ; SSA4 ; Heat shock protein that is highly induced upon stress
YER104W ; RTT105 ; Chaperone for Replication Protein A complex (RPA)
YER105C ; NUP157 ; Subunit of the inner ring of the nuclear pore complex (NPC)
YER106W ; MAM1 ; Monopolin
YER107C ; GLE2 ; RNA export factor associated with the nuclear pore complex (NPC)
YER110C ; KAP123 ; Karyopherin beta
YER111C ; SWI4 ; DNA binding component of the SBF complex (Swi4p-Swi6p)
YER112W ; LSM4 ; Lsm (Like Sm) protein
YER113C ; TMN3 ; Protein with a role in cellular adhesion and filamentous growth
YER114C ; BOI2 ; Protein involved in polar growth
YER115C ; SPR6 ; Protein of unknown function
YER116C ; SLX8 ; Subunit of Slx5-Slx8 SUMO-targeted ubiquitin ligase (STUbL) complex
YER117W ; RPL23B ; Ribosomal 60S subunit protein L23B
YER118C ; SHO1 ; Transmembrane osmosensor for filamentous growth and HOG pathways
YER119C ; AVT6 ; Vacuolar aspartate and glutamate exporter
YER120W ; SCS2 ; Integral ER membrane protein, regulates phospholipid metabolism
YER121W ; nan ; Putative protein of unknown function
YER122C ; GLO3 ; ADP-ribosylation factor GTPase activating protein (ARF GAP)
YER123W ; YCK3 ; Palmitoylated vacuolar membrane-localized casein kinase I isoform
YER124C ; DSE1 ; Daughter cell-specific protein
YER125W ; RSP5 ; NEDD4 family E3 ubiquitin ligase
YER126C ; NSA2 ; Protein constituent of 66S pre-ribosomal particles
YER127W ; LCP5 ; Essential protein involved in maturation of 18S rRNA
YER128W ; VFA1 ; Protein that interacts with Vps4p and has a role in vacuolar sorting
YER129W ; SAK1 ; Upstream serine/threonine kinase for the SNF1 complex
YER130C ; COM2 ; Transcription factor that binds IME1 Upstream Activation Signal (UAS)
YER131W ; RPS26B ; Protein component of the small (40S) ribosomal subunit
YER132C ; PMD1 ; Protein with an N-terminal kelch-like domain
YER133W ; GLC7 ; Type 1 S/T protein phosphatase (PP1) catalytic subunit
YER134C ; nan ; Magnesium-dependent acid phosphatase
YER136W ; GDI1 ; GDP dissociation inhibitor
YER137C ; nan ; Putative protein of unknown function
YER139C ; RTR1 ; CTD phosphatase, dephosphorylates S5 in  C-terminal domain of Rpo21p
YER140W ; EMP65 ; Integral membrane protein of the ER
YER141W ; COX15 ; Heme a synthase
YER142C ; MAG1 ; 3-methyl-adenine DNA glycosylase
YER143W ; DDI1 ; DNA damage-inducible v-SNARE binding protein
YER144C ; UBP5 ; Putative ubiquitin-specific protease
YER145C ; FTR1 ; High affinity iron permease
YER146W ; LSM5 ; Lsm (Like Sm) protein
YER147C ; SCC4 ; Subunit of cohesin loading factor (Scc2p-Scc4p)
YER148W ; SPT15 ; TATA-binding protein (TBP)
YER149C ; PEA2 ; Coiled-coil 12S polarisome subunit
YER150W ; SPI1 ; GPI-anchored cell wall protein involved in weak acid resistance
YER151C ; UBP3 ; Ubiquitin-specific protease that cleaves Ub-protein fusions
YER152C ; nan ; Protein with 2-aminoadipate transaminase activity
YER153C ; PET122 ; Mitochondrial translational activator specific for the COX3 mRNA
YER154W ; OXA1 ; Mitochondrial inner membrane insertase
YER155C ; BEM2 ; Rho GTPase activating protein (RhoGAP)
YER156C ; MYG1 ; Protein involved in mitochondrial function
YER157W ; COG3 ; Essential component of the conserved oligomeric Golgi complex
YER158C ; nan ; Protein of unknown function
YER159C ; BUR6 ; Subunit of a heterodimeric NC2 transcription regulator complex
YER161C ; SPT2 ; Protein involved in negative regulation of transcription
YER162C ; RAD4 ; Damaged-DNA binding subunit of Nuclear Excision Repair Factor 2
YER163C ; GCG1 ; Gamma-glutamyl cyclotransferase
YER164W ; CHD1 ; Chromatin remodeler that regulates various aspects of transcription
YER165W ; PAB1 ; Poly(A) binding protein
YER166W ; DNF1 ; Aminophospholipid translocase (flippase)
YER167W ; BCK2 ; Serine/threonine-rich protein involved in PKC1 signaling pathway
YER168C ; CCA1 ; ATP (CTP):tRNA-specific tRNA nucleotidyltransferase
YER169W ; RPH1 ; JmjC domain-containing histone demethylase
YER170W ; ADK2 ; Mitochondrial adenylate kinase
YER171W ; RAD3 ; 5' to 3' DNA helicase
YER172C ; BRR2 ; RNA-dependent ATPase RNA helicase (DEIH box)
YER173W ; RAD24 ; Checkpoint protein
YER174C ; GRX4 ; Glutathione-dependent oxidoreductase and glutathione S-transferase
YER175C ; TMT1 ; Trans-aconitate methyltransferase
YER176W ; ECM32 ; DNA dependent ATPase/DNA helicase
YER177W ; BMH1 ; 14-3-3 protein, major isoform
YER178W ; PDA1 ; E1 alpha subunit of the pyruvate dehydrogenase (PDH) complex
YER179W ; DMC1 ; Meiosis-specific recombinase required for double-strand break repair
YER180C ; ISC10 ; Meiosis-specific MAPK inhibitor
YER180C-A ; SLO1 ; Protein interacting with Arl3p
YER182W ; FMP10 ; Putative protein of unknown function
YER183C ; FAU1 ; 5,10-methenyltetrahydrofolate synthetase
YER184C ; TOG1 ; Transcriptional activator of oleate genes
YER185W ; PUG1 ; Plasma membrane protein involved in protoprophyrin and heme transport
YER187W ; nan ; Putative protein of unknown function
YER188W ; nan ; Putative protein of unknown function
YER189W ; nan ; Putative protein of unknown function
YER190W ; YRF1-2 ; Helicase encoded by the Y' element of subtelomeric regions
YFL001W ; DEG1 ; tRNA:pseudouridine synthase
YFL002C ; SPB4 ; Putative ATP-dependent RNA helicase
YFL003C ; MSH4 ; Protein involved in meiotic recombination
YFL004W ; VTC2 ; Regulatory subunit of the vacuolar transporter chaperone (VTC) complex
YFL005W ; SEC4 ; Rab family GTPase
YFL007W ; BLM10 ; Proteasome activator
YFL008W ; SMC1 ; Subunit of the multiprotein cohesin complex
YFL009W ; CDC4 ; F-box protein required for both the G1/S and G2/M phase transitions
YFL010C ; WWM1 ; WW domain containing protein of unknown function
YFL011W ; HXT10 ; Hexose transporter
YFL012W ; nan ; Putative protein of unknown function
YFL013C ; IES1 ; Subunit of the INO80 chromatin remodeling complex
YFL014W ; HSP12 ; Plasma membrane protein involved in maintaining membrane organization
YFL016C ; MDJ1 ; Co-chaperone that stimulates HSP70 protein Ssc1p ATPase activity
YFL017C ; GNA1 ; Glucosamine-6-phosphate acetyltransferase
YFL017W-A ; SMX2 ; Core Sm protein Sm G
YFL018C ; LPD1 ; Dihydrolipoamide dehydrogenase
YFL020C ; PAU5 ; Member of the seripauperin multigene family
YFL021W ; GAT1 ; Transcriptional activator of nitrogen catabolite repression genes
YFL022C ; FRS2 ; Alpha subunit of cytoplasmic phenylalanyl-tRNA synthetase
YFL023W ; BUD27 ; Unconventional prefoldin protein involved in translation initiation
YFL024C ; EPL1 ; Subunit of NuA4, an essential histone H4/H2A acetyltransferase complex
YFL025C ; BST1 ; GPI inositol deacylase of the endoplasmic reticulum (ER)
YFL026W ; STE2 ; Receptor for alpha-factor pheromone
YFL027C ; GYP8 ; GTPase-activating protein for yeast Rab family members
YFL028C ; CAF16 ; Part of evolutionarily-conserved CCR4-NOT regulatory complex
YFL029C ; CAK1 ; Cyclin-dependent kinase-activating kinase
YFL030W ; AGX1 ; Alanine:glyoxylate aminotransferase (AGT)
YFL031W ; HAC1 ; Basic leucine zipper (bZIP) transcription factor (ATF/CREB1 homolog)
YFL033C ; RIM15 ; Protein kinase involved in cell proliferation in response to nutrients
YFL034C-A ; RPL22B ; Ribosomal 60S subunit protein L22A
YFL034C-B ; MOB2 ; Activator of Cbk1p kinase
YFL034W ; MIL1 ; Predicted lipase
YFL036W ; RPO41 ; Mitochondrial RNA polymerase
YFL037W ; TUB2 ; Beta-tubulin
YFL038C ; YPT1 ; Rab family GTPase
YFL039C ; ACT1 ; Actin
YFL040W ; nan ; Putative transporter
YFL041W ; FET5 ; Multicopper oxidase
YFL042C ; LAM5 ; Putative sterol transfer protein
YFL044C ; OTU1 ; Deubiquitylation enzyme that binds to the chaperone-ATPase Cdc48p
YFL045C ; SEC53 ; Phosphomannomutase
YFL046W ; FMP32 ; Regulator of mitochondrial proline metabolism
YFL047W ; RGD2 ; GTPase-activating protein (RhoGAP) for Cdc42p and Rho5p
YFL048C ; EMP47 ; Integral membrane component of ER-derived COPII-coated vesicles
YFL049W ; SWP82 ; Member of the SWI/SNF chromatin remodeling complex
YFL050C ; ALR2 ; Probable Mg(2+) transporter
YFL053W ; DAK2 ; Dihydroxyacetone kinase
YFL054C ; AQY3 ; Putative channel-like protein
YFL055W ; AGP3 ; Low-affinity amino acid permease
YFL062W ; COS4 ; Endosomal protein involved in turnover of plasma membrane proteins
YFR001W ; LOC1 ; Nucleolar protein involved in the asymmetric localization of ASH1 mRNA
YFR002W ; NIC96 ; Linker nucleoporin component of the nuclear pore complex (NPC)
YFR003C ; YPI1 ; Regulatory subunit of the type I protein phosphatase (PP1) Glc7p
YFR004W ; RPN11 ; Metalloprotease subunit of 19S regulatory particle
YFR005C ; SAD1 ; Conserved zinc-finger domain protein involved in pre-mRNA splicing
YFR006W ; nan ; Putative X-Pro aminopeptidase
YFR007W ; YFH7 ; Putative kinase with similarity to the PRK/URK/PANK kinase subfamily
YFR008W ; FAR7 ; Protein involved in recovery from pheromone-induced cell cycle arrest
YFR009W ; GCN20 ; Positive regulator of the Gcn2p kinase activity
YFR010W ; UBP6 ; Ubiquitin-specific protease
YFR011C ; MIC19 ; Component of the MICOS complex
YFR013W ; IOC3 ; Subunit of the Isw1a complex
YFR014C ; CMK1 ; Calmodulin-dependent protein kinase
YFR015C ; GSY1 ; Glycogen synthase
YFR016C ; AIP5 ; Protein that positively regulates actin assembly
YFR017C ; IGD1 ; Cytoplasmic protein that inhibits Gdb1p glycogen debranching activity
YFR018C ; nan ; Putative protein of unknown function
YFR019W ; FAB1 ; 1-phosphatidylinositol-3-phosphate 5-kinase
YFR020W ; CSS2 ; Protein of unknown function, secreted when constitutively expressed
YFR021W ; ATG18 ; Phosphoinositide binding protein
YFR022W ; ROG3 ; Alpha-arrestin involved in ubiquitin-dependent endocytosis
YFR023W ; PES4 ; Poly(A) binding protein, suppressor of DNA polymerase epsilon mutation
YFR024C-A ; LSB3 ; Protein containing a C-terminal SH3 domain
YFR025C ; HIS2 ; Histidinolphosphatase
YFR027W ; ECO1 ; Acetyltransferase
YFR028C ; CDC14 ; Protein phosphatase required for mitotic exit
YFR029W ; PTR3 ; Component of the SPS plasma membrane amino acid sensor system
YFR030W ; MET10 ; Subunit alpha of assimilatory sulfite reductase
YFR031C ; SMC2 ; Subunit of the condensin complex
YFR031C-A ; RPL2A ; Ribosomal 60S subunit protein L2A
YFR032C ; RRT5 ; Putative protein of unknown function
YFR032C-A ; RPL29 ; Ribosomal 60S subunit protein L29
YFR033C ; QCR6 ; Subunit 6 of the ubiquinol cytochrome-c reductase complex
YFR034C ; PHO4 ; Basic helix-loop-helix (bHLH) transcription factor of the myc-family
YFR036W ; CDC26 ; Subunit of the Anaphase-Promoting Complex/Cyclosome (APC/C)
YFR037C ; RSC8 ; Component of the RSC chromatin remodeling complex
YFR038W ; IRC5 ; Putative ATPase containing the DEAD/H helicase-related sequence motif
YFR039C ; OSW7 ; Protein involved in outer spore wall assembly
YFR040W ; SAP155 ; Protein required for function of the Sit4p protein phosphatase
YFR041C ; ERJ5 ; Type I membrane protein with a J domain
YFR042W ; KEG1 ; Integral membrane protein of the ER
YFR043C ; IRC6 ; Clathrin coat accessory factor
YFR044C ; DUG1 ; Cys-Gly metallo-di-peptidase
YFR045W ; MRX20 ; Putative mitochondrial transport protein
YFR046C ; CNN1 ; Kinetochore protein
YFR047C ; BNA6 ; Quinolinate phosphoribosyl transferase
YFR048W ; RMD8 ; Cytosolic protein required for sporulation
YFR049W ; YMR31 ; Subunit of the mitochondrial alpha-ketoglutarate dehydrogenase
YFR050C ; PRE4 ; Beta 7 subunit of the 20S proteasome
YFR051C ; RET2 ; Delta subunit of the coatomer complex (COPI)
YFR052W ; RPN12 ; Subunit of the 19S regulatory particle of the 26S proteasome lid
YFR053C ; HXK1 ; Hexokinase isoenzyme 1
YFR054C ; nan ; Putative protein of unknown function
YFR055W ; IRC7 ; Cysteine desulphydrase, enables growth on cysteine as nitrogen source
YGL001C ; ERG26 ; C-3 sterol dehydrogenase
YGL002W ; ERP6 ; Member of the p24 family involved in ER to Golgi transport
YGL003C ; CDH1 ; Activator of anaphase-promoting complex/cyclosome (APC/C)
YGL004C ; RPN14 ; Evolutionarily conserved 19S regulatory particle assembly-chaperone
YGL005C ; COG7 ; Component of the conserved oligomeric Golgi complex
YGL006W ; PMC1 ; Vacuolar Ca2+ ATPase involved in depleting cytosol of Ca2+ ions
YGL008C ; PMA1 ; Plasma membrane P2-type H+-ATPase
YGL009C ; LEU1 ; Isopropylmalate isomerase
YGL010W ; MPO1 ; Dioxygenase that catalyzes alpha-oxygenation of 2-hydroxy fatty acids
YGL011C ; SCL1 ; Alpha 1 subunit of the 20S proteasome
YGL012W ; ERG4 ; C-24(28) sterol reductase
YGL013C ; PDR1 ; Transcription factor that regulates the pleiotropic drug response
YGL014W ; PUF4 ; Member of the PUF protein family
YGL015C ; nan ; Putative protein of unknown function
YGL016W ; KAP122 ; Karyopherin beta
YGL017W ; ATE1 ; Arginyl-tRNA-protein transferase
YGL018C ; JAC1 ; Specialized J-protein that functions in Fe-S cluster biogenesis
YGL019W ; CKB1 ; Beta regulatory subunit of casein kinase 2 (CK2)
YGL020C ; GET1 ; Subunit of the GET complex
YGL021W ; ALK1 ; Protein kinase
YGL022W ; STT3 ; Catalytic subunit of the oligosaccharyltransferase complex of the ER l
YGL023C ; PIB2 ; PhosphatidylInositol(3)-phosphate binding protein
YGL025C ; PGD1 ; Subunit of the RNA polymerase II mediator complex
YGL026C ; TRP5 ; Tryptophan synthase
YGL027C ; CWH41 ; Processing alpha glucosidase I
YGL028C ; SCW11 ; Cell wall protein with similarity to glucanases
YGL029W ; CGR1 ; Protein involved in nucleolar integrity and processing of pre-rRNA
YGL030W ; RPL30 ; Ribosomal 60S subunit protein L30
YGL031C ; RPL24A ; Ribosomal 60S subunit protein L24A
YGL032C ; AGA2 ; Adhesion subunit of a-agglutinin of a-cells
YGL033W ; HOP2 ; Meiosis-specific protein that localizes to chromosomes
YGL035C ; MIG1 ; Transcription factor involved in glucose repression
YGL036W ; nan ; Putative protein of unknown function
YGL037C ; PNC1 ; Nicotinamidase that converts nicotinamide to nicotinic acid
YGL038C ; OCH1 ; Mannosyltransferase of the cis-Golgi apparatus
YGL039W ; nan ; Aldehyde reductase
YGL040C ; HEM2 ; Aminolevulinate dehydratase
YGL041W-A ; DPC13 ; Putative mitochondrial protein of unknown function
YGL043W ; DST1 ; General transcription elongation factor TFIIS
YGL044C ; RNA15 ; Component of the cleavage and polyadenylation factor I (CF I)
YGL045W ; RIM8 ; Protein involved in proteolytic activation of Rim101p
YGL047W ; ALG13 ; Catalytic component of UDP-GlcNAc transferase
YGL048C ; RPT6 ; ATPase of the 19S regulatory particle of the 26S proteasome
YGL049C ; TIF4632 ; Translation initiation factor eIF4G and scaffold protein
YGL050W ; TYW3 ; tRNA methyltransferase required for synthesis of wybutosine
YGL054C ; ERV14 ; COPII-coated vesicle protein
YGL055W ; OLE1 ; Delta(9) fatty acid desaturase
YGL056C ; SDS23 ; Protein involved in cell separation during budding
YGL057C ; GEP7 ; Protein of unknown function
YGL058W ; RAD6 ; Ubiquitin-conjugating enzyme (E2)
YGL059W ; PKP2 ; Mitochondrial protein kinase
YGL060W ; YBP2 ; Central kinetochore associated protein
YGL061C ; DUO1 ; Essential subunit of the Dam1 complex (aka DASH complex)
YGL062W ; PYC1 ; Pyruvate carboxylase isoform
YGL063W ; PUS2 ; Mitochondrial tRNA:pseudouridine synthase
YGL064C ; MRH4 ; Mitochondrial ATP-dependent RNA helicase of the DEAD-box family
YGL065C ; ALG2 ; Mannosyltransferase in the N-linked glycosylation pathway
YGL066W ; SGF73 ; Subunit of DUBm module of SAGA and SLIK
YGL067W ; NPY1 ; NADH diphosphatase (pyrophosphatase)
YGL068W ; MNP1 ; Mitochondrial ribosomal protein of the large subunit
YGL070C ; RPB9 ; RNA polymerase II subunit B12.6
YGL071W ; AFT1 ; Transcription factor involved in iron utilization and homeostasis
YGL073W ; HSF1 ; Trimeric heat shock transcription factor
YGL075C ; MPS2 ; Essential membrane protein localized at nuclear envelope and SPBs
YGL077C ; HNM1 ; Plasma membrane transporter for choline, ethanolamine, and carnitine
YGL078C ; DBP3 ; RNA-Dependent ATPase, member of DExD/H-box family
YGL079W ; KXD1 ; Subunit of the BLOC-1 complex involved in endosomal maturation
YGL080W ; MPC1 ; Highly conserved subunit of mitochondrial pyruvate carrier (MPC)
YGL081W ; nan ; Putative protein of unknown function
YGL082W ; nan ; Putative protein of unknown function
YGL083W ; SCY1 ; Putative kinase
YGL084C ; GUP1 ; Plasma membrane protein involved in remodeling GPI anchors
YGL085W ; LCL3 ; Putative protein of unknown function
YGL086W ; MAD1 ; Coiled-coil protein involved in spindle-assembly checkpoint
YGL087C ; MMS2 ; Ubiquitin-conjugating enzyme variant
YGL089C ; MF(ALPHA)2 ; Mating pheromone alpha-factor, made by alpha cells
YGL090W ; LIF1 ; Component of the DNA ligase IV complex
YGL091C ; NBP35 ; Essential cytoplasmic iron-sulfur cluster binding protein
YGL092W ; NUP145 ; Essential protein with distinct roles in two nuclear pore subcomplexes
YGL093W ; SPC105 ; Subunit of a kinetochore-microtubule binding complex
YGL094C ; PAN2 ; Catalytic subunit of the Pan2p-Pan3p poly(A)-ribonuclease complex
YGL095C ; VPS45 ; Protein of the Sec1p/Munc-18 family
YGL096W ; TOS8 ; Homeodomain-containing protein and putative transcription factor
YGL097W ; SRM1 ; Nucleotide exchange factor for Gsp1p
YGL098W ; USE1 ; Essential SNARE protein localized to the ER
YGL099W ; LSG1 ; Putative GTPase involved in 60S ribosomal subunit biogenesis
YGL100W ; SEH1 ; Subunit of the Nup84 nuclear pore and SEACAT subcomplexes
YGL101W ; YGK1 ; 5'-deoxynucleotidase involved in deoxyribonucleoside monophosphate deg
YGL103W ; RPL28 ; Ribosomal 60S subunit protein L28
YGL104C ; VPS73 ; Mitochondrial protein
YGL105W ; ARC1 ; Protein that binds tRNA and methionyl- and glutamyl-tRNA synthetases
YGL106W ; MLC1 ; Essential light chain for Myo1p
YGL107C ; RMD9 ; Mitochondrial protein required for respiratory growth
YGL108C ; nan ; Protein of unknown function, predicted to be palmitoylated
YGL110C ; CUE3 ; Subunit of ribosome-associated quality control trigger complex (RQT)
YGL111W ; NSA1 ; Constituent of 66S pre-ribosomal particles
YGL112C ; TAF6 ; Subunit (60 kDa) of TFIID and SAGA complexes
YGL113W ; SLD3 ; Protein involved in the initiation of DNA replication
YGL114W ; nan ; Putative protein of unknown function
YGL115W ; SNF4 ; Activating gamma subunit of the AMP-activated Snf1p kinase complex
YGL116W ; CDC20 ; Activator of anaphase-promoting complex/cyclosome (APC/C)
YGL117W ; nan ; Putative protein of unknown function
YGL119W ; COQ8 ; ATPase required for ubiquinone biosynthesis and respiratory growth
YGL120C ; PRP43 ; RNA helicase in the DEAH-box family
YGL121C ; GPG1 ; Proposed gamma subunit of the heterotrimeric G protein
YGL122C ; NAB2 ; Nuclear polyadenylated RNA-binding protein
YGL123W ; RPS2 ; Protein component of the small (40S) subunit
YGL124C ; MON1 ; Subunit of a heterodimeric guanine nucleotide exchange factor (GEF)
YGL125W ; MET13 ; Major isozyme of methylenetetrahydrofolate reductase
YGL126W ; SCS3 ; Protein required for normal ER membrane biosynthesis in response to ER
YGL127C ; SOH1 ; Subunit of the RNA polymerase II mediator complex
YGL128C ; CWC23 ; Component of a complex containing Cef1p
YGL129C ; RSM23 ; Mitochondrial ribosomal protein of the small subunit
YGL130W ; CEG1 ; Guanylyltransferase involved in mRNA 5' capping
YGL131C ; SNT2 ; Subunit of Snt2C complex, RING finger ubiquitin ligase (E3)
YGL133W ; ITC1 ; Subunit of ATP-dependent Isw2p-Itc1p chromatin remodeling complex
YGL134W ; PCL10 ; Pho85p cyclin
YGL135W ; RPL1B ; Ribosomal 60S subunit protein L1B
YGL136C ; MRM2 ; Mitochondrial 2' O-ribose methyltransferase
YGL137W ; SEC27 ; Essential beta'-coat protein of the COPI coatomer
YGL138C ; nan ; Putative protein of unknown function
YGL139W ; FLC3 ; Putative FAD transporter, similar to Flc1p and Flc2p
YGL140C ; nan ; Putative protein of unknown function
YGL141W ; HUL5 ; Multiubiquitin chain assembly factor (E4)
YGL142C ; GPI10 ; Integral membrane protein involved in GPI anchor synthesis
YGL143C ; MRF1 ; Mitochondrial translation release factor
YGL144C ; ROG1 ; Lipase with specificity for monoacylglycerol
YGL145W ; TIP20 ; Peripheral membrane protein required for COPI vesicle fusion to the ER
YGL146C ; RRT6 ; Putative protein of unknown function
YGL147C ; RPL9A ; Ribosomal 60S subunit protein L9A
YGL148W ; ARO2 ; Bifunctional chorismate synthase and flavin reductase
YGL150C ; INO80 ; ATPase and nucleosome spacing factor
YGL151W ; NUT1 ; Component of the RNA polymerase II mediator complex
YGL153W ; PEX14 ; Central component of the peroxisomal importomer complex
YGL154C ; LYS5 ; Phosphopantetheinyl transferase involved in lysine biosynthesis
YGL155W ; CDC43 ; Beta subunit of geranylgeranyltransferase type I
YGL156W ; AMS1 ; Vacuolar alpha mannosidase
YGL157W ; ARI1 ; NADPH-dependent aldehyde reductase
YGL158W ; RCK1 ; Protein kinase involved in oxidative stress response
YGL159W ; nan ; Putative protein of unknown function
YGL160W ; AIM14 ; NADPH oxidase localized to the perinuclear ER
YGL161C ; YIP5 ; Protein that interacts with Rab GTPases
YGL162W ; SUT1 ; Zn(II)2Cys6 family transcription factor
YGL163C ; RAD54 ; DNA-dependent ATPase that stimulates strand exchange
YGL164C ; YRB30 ; RanGTP-binding protein
YGL166W ; CUP2 ; Copper-binding transcription factor
YGL167C ; PMR1 ; High affinity Ca2+/Mn2+ P-type ATPase
YGL169W ; SUA5 ; Protein involved in threonylcarbamoyl adenosine biosynthesis
YGL170C ; SPO74 ; Component of the meiotic outer plaque of the spindle pole body
YGL171W ; ROK1 ; RNA-dependent ATPase
YGL172W ; NUP49 ; FG-nucleoporin component of central core of the nuclear pore complex
YGL173C ; XRN1 ; Evolutionarily-conserved 5'-3' exonuclease
YGL174W ; BUD13 ; Subunit of the RES complex
YGL175C ; SAE2 ; Endonuclease required for telomere elongation
YGL176C ; nan ; Putative protein of unknown function
YGL178W ; MPT5 ; mRNA-binding protein of the PUF family
YGL179C ; TOS3 ; Protein kinase
YGL180W ; ATG1 ; Protein serine/threonine kinase
YGL181W ; GTS1 ; Protein involved in Arf3p regulation and in transcription regulation
YGL183C ; MND1 ; Protein required for recombination and meiotic nuclear division
YGL184C ; STR3 ; Peroxisomal cystathionine beta-lyase
YGL185C ; nan ; Putative protein with sequence similar to hydroxyacid dehydrogenases
YGL186C ; TPN1 ; Plasma membrane pyridoxine (vitamin B6) transporter
YGL187C ; COX4 ; Subunit IV of cytochrome c oxidase
YGL189C ; RPS26A ; Protein component of the small (40S) ribosomal subunit
YGL190C ; CDC55 ; Regulatory subunit B of protein phosphatase 2A (PP2A)
YGL191W ; COX13 ; Subunit VIa of cytochrome c oxidase
YGL192W ; IME4 ; mRNA N6-adenosine methyltransferase essential for meiosis in S288C but
YGL194C ; HOS2 ; Histone deacetylase and subunit of Set3 and Rpd3L complexes
YGL194C-A ; nan ; Putative protein of unknown function
YGL195W ; GCN1 ; Positive regulator of the Gcn2p kinase activity
YGL196W ; DSD1 ; D-serine dehydratase (aka D-serine ammonia-lyase)
YGL197W ; MDS3 ; Putative component of the TOR regulatory pathway
YGL198W ; YIP4 ; Protein that interacts with Rab GTPases
YGL200C ; EMP24 ; Component of the p24 complex
YGL201C ; MCM6 ; Protein involved in DNA replication
YGL202W ; ARO8 ; Aromatic aminotransferase I
YGL203C ; KEX1 ; Cell death protease essential for hypochlorite-induced apoptosis
YGL205W ; POX1 ; Fatty-acyl coenzyme A oxidase
YGL206C ; CHC1 ; Clathrin heavy chain
YGL207W ; SPT16 ; Subunit of the heterodimeric FACT complex (Spt16p-Pob3p)
YGL208W ; SIP2 ; One of three alternate beta subunits of the Snf1 kinase complex
YGL209W ; MIG2 ; Zinc finger transcriptional repressor
YGL210W ; YPT32 ; Rab family GTPase involved in the exocytic pathway
YGL211W ; NCS6 ; Protein required for uridine thiolation of Gln, Lys, and Glu tRNAs
YGL212W ; VAM7 ; Vacuolar SNARE protein
YGL213C ; SKI8 ; Ski complex component and WD-repeat protein
YGL215W ; CLG1 ; Cyclin-like protein that interacts with Pho85p
YGL216W ; KIP3 ; Kinesin-related antiparallel sliding motor protein
YGL219C ; MDM34 ; Mitochondrial component of the ERMES complex
YGL220W ; BOL2 ; Cytosolic protein involved in repression of iron regulon transcription
YGL221C ; NIF3 ; Protein of unknown function
YGL222C ; EDC1 ; RNA-binding protein that activates mRNA decapping directly
YGL223C ; COG1 ; Essential component of the conserved oligomeric Golgi complex
YGL224C ; SDT1 ; Pyrimidine nucleotidase
YGL225W ; VRG4 ; Golgi GDP-mannose transporter
YGL226C-A ; OST5 ; Zeta subunit of the oligosaccharyltransferase complex of the ER lumen
YGL226W ; MTC3 ; Protein of unknown function
YGL227W ; VID30 ; Central component of GID Complex, involved in FBPase degradation
YGL228W ; SHE10 ; Protein involved in outer spore wall assembly
YGL229C ; SAP4 ; Protein required for function of the Sit4p protein phosphatase
YGL230C ; nan ; Putative protein of unknown function
YGL231C ; EMC4 ; Member of conserved ER transmembrane complex
YGL232W ; TAN1 ; Putative tRNA acetyltransferase
YGL233W ; SEC15 ; Essential 113 kDa subunit of the exocyst complex
YGL234W ; ADE5,7 ; Enzyme of the 'de novo' purine nucleotide biosynthetic pathway
YGL236C ; MTO1 ; Mitochondrial protein
YGL237C ; HAP2 ; Subunit of the Hap2p/3p/4p/5p CCAAT-binding complex
YGL238W ; CSE1 ; Nuclear envelope protein that acts as a recycling factor
YGL240W ; DOC1 ; Processivity factor
YGL241W ; KAP114 ; Karyopherin, responsible for nuclear import of specific proteins
YGL242C ; nan ; Protein of unknown function
YGL243W ; TAD1 ; tRNA-specific adenosine deaminase
YGL244W ; RTF1 ; Subunit of RNAPII-associated chromatin remodeling Paf1 complex
YGL245W ; GUS1 ; Glutamyl-tRNA synthetase (GluRS)
YGL246C ; RAI1 ; Nuclear protein with decapping endonuclease activity
YGL247W ; BRR6 ; Essential nuclear envelope integral membrane protein
YGL248W ; PDE1 ; Low-affinity cyclic AMP phosphodiesterase
YGL249W ; ZIP2 ; Meiosis-specific protein
YGL250W ; RMR1 ; Protein required for meiotic recombination and gene conversion
YGL251C ; HFM1 ; Meiosis specific DNA helicase
YGL252C ; RTG2 ; Sensor of mitochondrial dysfunction
